CUSTOMER NUMBER,DISTRIBUTOR,DEPARTMENT,DATE,PO NUMBER,PRODUCT NUMBER,CUST PROD #,DESCRIPTION,BRAND,PACK SIZE,CS PRICE,EA PRICE,CS,EA,EXTENDED PRICE,ORDER #,STOCK STATUS,EXCEPTIONS / AUTO-SUB,SHORTED
1602994,2195,0,2/23/2025,TRIPHAMMER,5432430,,,,,,,2,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,2662419,,,,,,,8,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,94154,,,,,,,3,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,75406,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,75410,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,1438993,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,8495343,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,57135,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,67067,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,1667864,,,,,,,7,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,5607194,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,1138748,,,,,,,2,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,62063,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,45340,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,1059229,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,25806,,,,,,,15,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,29053,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,46999,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,25330,,,,,,,2,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,60171,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,3275539,,,,,,,2,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,2825368,,,,,,,2,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,54112,,,,,,,4,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,1132582,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,8255796,,,,,,,6,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,11072,,,,,,,2,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,6364494,,,,,,,2,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,1030192,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,5514021,,,,,,,15,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,88202,,,,,,,4,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,7228448,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,6579288,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,5365192,,,,,,,1,0,,,
1602994,2195,0,2/23/2025,TRIPHAMMER,88153,,,,,,,2,0,,,
